Well ID,S.No,STATE,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb)
W225649081564201,515,Chhattisgarh,Bilaspur,Marwahi,Nimdha,22.95,81.95,8.0,1004.0,0.0,336.0,128.0,38.0,51.0,0.0,460.0,100.0,50.0,36.0,2.0,0.0,14.0,,1.0
W214941082161201,516,Chhattisgarh,Bilaspur,Masturi,Panchpedi,21.83,82.27,8.0,1052.0,0.0,464.0,64.0,79.0,29.0,0.0,445.0,76.0,61.0,57.0,9.0,0.0,10.0,,1.0
W222535082023501,517,Chhattisgarh,Bilaspur,Kota,Pandra Patha,22.43,82.04,8.0,531.0,0.0,183.0,28.0,36.0,23.0,0.0,165.0,52.0,8.0,38.0,1.0,1.0,11.0,,2.0
W215539082211701,518,Chhattisgarh,Bilaspur,Masturi,Kohronda,21.93,82.35,8.0,510.0,0.0,201.0,43.0,37.0,27.0,0.0,210.0,64.0,12.0,32.0,2.0,1.0,9.0,,13.0
W192114084461501,519,Chhattisgarh,Bilaspur,Kota,Ratanpur,22.28,82.18,8.0,1660.0,0.0,488.0,213.0,72.0,72.0,0.0,710.0,172.0,67.0,57.0,2.0,0.0,7.0,,3.0
W224151081533601,520,Chhattisgarh,Bilaspur,Gaurela (pendrarod) - 1,Rupandand,22.7,81.89,8.0,386.0,0.0,140.0,28.0,19.0,32.0,0.0,130.0,48.0,2.0,32.0,1.0,0.0,13.0,,1.0
W222030081561001,521,Chhattisgarh,Bilaspur,Kota,Saraipalli,22.34,81.94,8.0,904.0,0.0,281.0,135.0,47.0,24.0,0.0,420.0,160.0,5.0,31.0,1.0,0.0,12.0,,1.0
W230045081573001,522,Chhattisgarh,Bilaspur,Marwahi,Seoni,23.01,81.96,8.0,199.0,0.0,73.0,14.0,6.0,21.0,0.0,65.0,16.0,6.0,18.0,2.0,0.0,10.0,,1.0
W225106081585001,523,Chhattisgarh,Bilaspur,Marwahi,Sewra,22.85,81.98,8.0,759.0,0.0,329.0,64.0,30.0,2.0,0.0,310.0,52.0,43.0,40.0,0.0,1.0,16.0,,2.0
W225038082050901,524,Chhattisgarh,Bilaspur,Marwahi,Shekhwa,22.84,82.09,8.0,401.0,0.0,256.0,7.0,5.0,1.0,0.0,170.0,48.0,12.0,27.0,0.0,0.0,10.0,,9.0
W222100082005801,525,Chhattisgarh,Bilaspur,Kota,Shripara,22.21,82.01,8.0,801.0,0.0,342.0,28.0,84.0,14.0,0.0,275.0,44.0,40.0,66.0,1.0,0.0,7.0,,3.0
W220845082164501,526,Chhattisgarh,Bilaspur,Takhatpur,Sipat,22.15,82.28,8.0,714.0,0.0,256.0,57.0,60.0,7.0,0.0,305.0,56.0,40.0,24.0,1.0,0.0,6.0,,2.0
W220512081401201,527,Chhattisgarh,Bilaspur,Mungeli,Surada,22.09,81.67,8.0,369.0,0.0,207.0,14.0,10.0,1.0,0.0,140.0,28.0,17.0,28.0,2.0,0.0,7.0,,0.0
W213229082043101,528,Chhattisgarh,Bilaspur,Bilha,Sawti,21.54,82.08,8.0,1493.0,0.0,641.0,92.0,99.0,57.0,0.0,650.0,156.0,62.0,70.0,2.0,0.0,20.0,,7.0
W222949082040101,529,Chhattisgarh,Bilaspur,Kota,Saudhakhurd,22.5,82.07,8.0,898.0,0.0,305.0,78.0,88.0,1.0,0.0,195.0,40.0,23.0,117.0,2.0,0.0,16.0,,1.0
W230324082004401,530,Chhattisgarh,Bilaspur,Marwahi,Tendumuda,23.06,82.01,8.0,451.0,0.0,220.0,14.0,37.0,13.0,0.0,215.0,52.0,20.0,17.0,1.0,0.0,13.0,,1.0
W221515081530001,531,Chhattisgarh,Bilaspur,Kota,Tenduwa,22.25,81.88,8.0,676.0,0.0,171.0,64.0,39.0,56.0,0.0,280.0,96.0,10.0,16.0,2.0,0.0,10.0,,1.0
W230504082041001,532,Chhattisgarh,Bilaspur,Marwahi,Tikthi,23.08,82.07,8.0,223.0,0.0,122.0,14.0,4.0,0.0,0.0,80.0,20.0,7.0,23.0,0.0,2.0,14.0,,0.0
W221621081451601,533,Chhattisgarh,Bilaspur,Takhatpur,Udaypur,22.27,81.75,8.0,297.0,0.0,165.0,7.0,16.0,2.0,0.0,125.0,32.0,11.0,18.0,0.0,0.0,12.0,,0.0
W225833081575101,534,Chhattisgarh,Bilaspur,Pendra road,Dharhar,22.98,81.96,8.0,183.0,0.0,67.0,21.0,13.0,0.0,0.0,70.0,20.0,5.0,14.0,0.0,0.0,9.0,,1.0
W220110082040401,535,Chhattisgarh,Bilaspur,Kota,Chhatauna,22.02,82.07,7.0,1780.0,0.0,671.0,213.0,50.0,7.0,0.0,560.0,48.0,106.0,153.0,13.0,0.0,12.0,,15.0
W231539081274301,536,Chhattisgarh,Bilaspur,Kota,Kanchanpur,22.37,82.06,8.0,1081.0,0.0,519.0,50.0,108.0,2.0,0.0,380.0,88.0,38.0,106.0,2.0,0.0,18.0,,5.0
W215745083011001,537,Chhattisgarh,Janjgir-Champa,Malkharoda,Adbhar,21.66,82.08,7.0,863.0,0.0,336.0,92.0,19.0,20.0,0.0,320.0,72.0,34.0,48.0,15.0,0.0,17.0,,1.0
W215911082430304,538,Chhattisgarh,Janjgir-Champa,Bamnidih,Afrid,21.99,82.72,7.0,1336.0,0.0,488.0,149.0,71.0,47.0,0.0,600.0,140.0,60.0,41.0,28.0,0.0,10.0,,6.0
W220135082252001,539,Chhattisgarh,Janjgir-Champa,Akaltara,Akaltara,22.03,82.42,8.0,615.0,0.0,214.0,46.0,69.0,22.0,0.0,285.0,56.0,35.0,18.0,3.0,0.0,13.0,,1.0
W220457082273601,540,Chhattisgarh,Janjgir-Champa,Akaltara,Bamhani,22.08,82.45,7.0,1084.0,0.0,427.0,113.0,56.0,19.0,0.0,410.0,116.0,29.0,80.0,1.0,0.0,17.0,,1.0
W215349082372301,541,Chhattisgarh,Janjgir-Champa,Nawagarh,Budena,21.9,82.62,7.0,673.0,0.0,140.0,71.0,108.0,22.0,0.0,260.0,60.0,26.0,36.0,5.0,0.0,10.0,,2.0
